Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Fields of Study,Keywords,MeSH Terms,Chemicals,DOI
003-207-445-325-746,"KES - Development of MMRS (mind map and relief system), an information sharing system for children's safety",,2013,journal article,Procedia Computer Science,18770509,Elsevier BV,,Hiroko Kanoh,"Abstract MMRS was developed as a system that eliminates parents’ anxiety by watching over their children and sharing information about their safety. Through MMRS, parents and school staff can confirm the location of children through GPS and at the same time view a visualization of their mental state, which cannot be seen by the naked eye. Also, in areas cell phone signals cannot reach, one special feature of the system is that it is equipped to use ad hoc and multihop networks.",Human factors and ergonomics; Occupational safety and health; Mind map; Visualization; Computer security; Computer science; Multimedia; Global Positioning System; Mobile phone signal; Wireless ad hoc network,Children's Safety; School; Parents  Ad hoc networks; Multihop networks; MMRS,,,10.1016/j.procs.2013.09.158
003-252-429-917-998,Journal of Child and Family Studies - Experienced Severity of Imprisonment Among Fathers and Non-Fathers,2019-11-30,2019,journal article,Journal of Child and Family Studies,10621024; 15732843,Springer Science and Business Media LLC,United States,Joni Reef; Anja Dirkzwager,"Even though 90% of the prison population is male, fatherhood among prisoners is an overlooked topic. Previous studies suggest that experienced severity of detention is different between fathers and non-fathers in prison because there is a unique deprivation strain related to fatherhood. There are criminological arguments and arguments in the legal context why we need more knowledge on the experience of detention by incarcerated fathers. We studied longitudinal data of 785 males in pre-trial detention in the Netherlands from the nationwide Prison Project study population: 329 fathers were compared with 456 non-fathers for experienced severity, adjustment patterns (i.e. mental distress and misconduct), and deprivations strains. We found differences between fathers and non-fathers, both in adjustment and deprivation strains. Fathers reported less adjustment problems and different deprivation strains than non-fathers. Missing children during pre-trial detention was associated with depressive behavior (β = 0.158, p < 0.005) and anxiety among fathers (β = 0.128, p < 0.05). Our results underline the importance of designing interventions for fathers in prison and educating sentencers about this topic. Proportional sentencing of fathers in the criminal justice system could only be validated as long as sufficient attention will be paid to their unique deprivation strain, which is, missing their children. During pre-trial detention, care for the child-father relation may not only lead to father’s emotional wellbeing during pre-trial detention, but may also lead to strengthened family bonds and children’s wellbeing on the long term.",Criminal justice; Psychology; Psychological intervention; Mental distress; Imprisonment; Context (language use); Misconduct; Prison; Anxiety; Clinical psychology,,,,10.1007/s10826-019-01670-8
003-257-366-007-323,China's missing children: The 2000 census underreporting surprise,,2004,journal article,Population studies,00324728; 14774747,Informa UK Limited,United Kingdom,Daniel Goodkind,"We compare the age and sex structure of China's 2000 population census to an estimate of that structure derived from a projection from the 1990 census. Based on China's own official estimates of demographic change, our intercensal analysis indicates a shortfall in enumeration of more than a quarter of all children under age 5 and an eighth of those between 5 and 9, a total of nearly 37 million children missing in the 2000 census. We show that the shortfall is primarily due to underreporting of children in the census. Sex differences in child underreporting were fairly minor. Child underreporting in China is not unprecedented, but child underreporting rates in 2000 were about triple those of previous censuses. We attribute the increase primarily to policy changes beginning in the early 1990s that held officials at all jurisdictional levels personally responsible for enforcing birth quotas.",Population statistics; Demography; China; Quarter (United States coin); Geography; Data reporting; One-child policy; Population; Demographic change; Census,,"Birth Rate; Censuses; Child; Child, Preschool; China; Female; Humans; Infant; Infant, Newborn; Male; Population; Population Growth; Residence Characteristics",,10.1080/0032472042000272348
003-258-647-959-819,CVPR Workshops - Iris recognition using quaternionic sparse orientation code (QSOC),,2012,conference proceedings article,2012 IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops,,IEEE,,Ajay Kumar; Tak-Shing T. Chan,"Personal identification from the iris images acquired under less-constrained imaging environment is highly challenging problem but with several important applications in surveillance, image forensics, search for missing children and wandering elderly. In this paper, we develop and formulate a new approach for the iris recognition using hypercomplex (quaternionic or octonionic) and sparse representation of unwrapped iris images. We model iris representation problem as quaternionic sparse coding problem which is solved by convex optimization strategy. This approach essentially exploits the orientation of local iris texture elements which are efficiently extracted using a binarized dictionary of oriented atoms. The feasibility of this approach is evaluated, both for the recognition and the verification problem, on the publicly available visible illumination UBIRIS V2 database. Our experimental results using the proposed formulation illustrate significant improvement in performance (e.g., ∼30% improvement in rank-one recognition accuracy) over the previously studied sparse representation approach for the visible illumination iris recognition.",Iris recognition; Sparse approximation; Image segmentation; Artificial intelligence; Convex optimization; Pattern recognition; Computer vision; Computer science; Feature extraction; Image texture; Neural coding; Orientation (computer vision),,,,10.1109/cvprw.2012.6239216
003-347-493-751-656,A survey: Verification of family relationship from parents and child facial images,,2014,conference proceedings article,"2014 IEEE Students' Conference on Electrical, Electronics and Computer Science",,IEEE,,Ashish R. Dandekar; Mrudula Nimbarte,"Verification of Family Relationship from facial images is a challenging problem in computer vision, and there are very few attempts on tackling this problem in the literature. We present a survey on how to verify family relation by a various metric learning method, probabilistic framework and several methods which can extract critical points on a face using both location and texture information such as lip corners, eye corners and nose tip. These are critical points in a human face, and centre of the mouth of each face. Motivated by the fact that interclass samples (without kinship relations) with higher similarity usually lie in a neighborhood and are more easily misclassified than those with lower similarity, we aim to learn a distance metric under which the interclass samples (with kinship relations) are pushed as close as possible and interclass samples lying in a neighborhood are repulsed and pulled as far as possible, simultaneously, such that more discriminative information can be exploited for verification. To make better use of multiple feature descriptors to further improve the verification performance it is necessary to develop a method to extract the salient familial traits in face images for kinship recognition. If this idea works, an instrument may be invented to measure familial relationships. This computational kinship measurement might have a large impact in real applications, such as child adoptions, trafficking/smuggling of children, and finding missing children, identifying relatives from a photo collection. We can collect Dataset of young parent and old parent face images from Internet. In our research work verification has to be performed by measuring the number of image pairs available for training and testing along with images of their parents and children frontal images. These images are taken as kinship so as to maintain relationship between two persons who are biologically related with overlapping genes.",Machine learning; Kinship; Artificial intelligence; Pattern recognition; Face (geometry); Metric (mathematics); Facial recognition system; Computer science; Feature extraction; Feature (computer vision); Three-dimensional face recognition; Discriminative model,,,,10.1109/sceecs.2014.6804516
003-729-267-249-530,"Broadening notions of ‘missing persons’ to increase social inclusion, public empathy and healing: Considering the case of children missing through adoption",2013-08-28,2013,journal article,Journal of Social Inclusion,18368808,"School of Human Services and Social Work, Griffith University",,Susan Gair; Sharon Moloney,"A missing person is defined as someone whose whereabouts are unknown and fears exist for the safety and welfare of that person. Families of a reported missing person experience many emotions including unresolved grief and ambiguous loss as they manage day to day with the traumatising reality of their loved one being psychologically present but physically absent. While not diminishing that recognised trauma, there are families with missing members who do not fit the usual social script of 'missing persons', and as a result, these families may gain different levels of public acknowledgement, support and empathy. An example is the trauma and loss felt by birth parents, tinged with a painful but enduring optimism of a reunion with their child, which might be better understood through a 'missing person' lens. Drawing on the personal narrative of the second author and past research of the first author, we seek to illuminate the ongoing trauma and ambiguous loss felt when a child is missing through adoption. We argue for a broader notion of 'missing persons' that could benefit families who remain excluded from social support and empathic understanding of their grief.",Welfare; Developmental psychology; Psychology; Optimism; Acknowledgement; Social support; Personal narrative; Empathy; Grief; Ambiguous loss; Social psychology,Missing persons; adoption; unresolved grief; ambiguous loss,,,10.36251/josi.64
003-792-717-300-199,Air Quality and Early-Life Mortality: Evidence from Indonesia's Wildfires,,2008,report,,,National Bureau of Economic Research,,Seema Jayachandran,"Smoke from massive wildfires blanketed Indonesia in late 1997. This paper examines the impact this air pollution (particulate matter) had on infant and fetal mortality. Deaths are inferred from ""missing children"" in the 2000 Indonesian Census, exploiting the sharp timing and spatial patterns of the pollution. Prenatal exposure to pollution is found to have a large effect on survival. The fire-induced pollution led to 16,400 fewer surviving infants in Indonesia. The effect size is much larger in poorer areas. Environmental damage that occurs alongside economic development may have large health costs and may contribute to the socioeconomic gradient in health.",,JEL codes: Q56; Q53; Q52; I12; O1,,,10.3386/w14011
003-912-705-336-956,Japan's emerging challenge for child abuse: System coordination for early prevention of child abuse is needed,,2014,journal article,Bioscience trends,18817823; 18817815,International Research and Cooperation Association for Bio & Socio-Sciences Advancement (IRCA-BSSA),Japan,Kenzo Takahashi; Hideyuki Kanda; Nagisa Sugaya,"At the end of 2013, a Japanese newspaper reported that 4,173 children were unidentified or missing in Japan. The article concluded that child abuse was a matter of national concern. In examining the strengths and weaknesses of Japan's welfare system in regard to child abuse, it would seem that a weakness exists with regard to its ambiguity on the roles of different officers who contact suspected cases. Although three types of officer (health, welfare, and police officers) can take charge, child abuse cases might be missed because the division of labor varies between the different types of officer. However, a strength exists in the periodical pediatric health check system that is in place in each of Japan's 1,742 municipalities. To efficiently implement early intervention for child abuse, it is necessary to rearrange the division of labor among the three types of officers to clarify who should intervene in suspected cases.",Occupational safety and health; Pediatrics; Injury prevention; Officer; Intervention (counseling); Child abuse; Poison control; Suicide prevention; Strengths and weaknesses; Medicine; Criminology,Child abuse; Japan; pediatric health checks,"Child Abuse/diagnosis; Child Welfare; Child, Preschool; Community Health Services/organization & administration; Government Programs/organization & administration; Humans; Infant; Japan; Local Government; Mandatory Reporting",,10.5582/bst.2014.01064
004-176-763-977-077,The Italian sad story of two missing children: autopsy findings and investigation.,,2009,,,,,,Francesco Introna; null Romano; C Andreula; Giuseppe Angelelli; C. P. Campobasso; Aristide Carella; S Corrado; Antonio De Donno; A Di Nunno; Angela Di Pinto; Francesco Porcelli; G Rizzo; Valeria Santoro; Giuseppina Tantillo,,Psychiatry; Autopsy; Medicine,,,,
004-248-205-065-487,Device to Remotely Track and Locate the Position of a Child for Safety.,2020-08-01,2020,preprint,arXiv: Computers and Society,,,,S.M.K.C.S.B. Egodawela; H.M.D.M.B. Herath; Ruwan Ranaweera; Janaka Wijayakulasooriya,"Parents are always worried about the wellbeing of their children. As per the Statistics Report 2017 by Missing Children Europe Organization, a child is reported missing every 2 minutes. Due to the imminent threat, parents are prone to buy their children mobile phones to keep in touch with them. However, giving a Mobile phone to a child can cause issues including cyber bullying, improper use of social networks, access to mature age and illicit content on the internet and possibly, phone theft. As an effort to tackle some of those issues, this paper proposes a solution which enables parents to call, locate and track their children using a child-friendly mobile device. The common scenario the device would come to play is in enhancing the safety of a child who would travel alone on a typical route; for instance a child who walks from home to school and back. The device can be calibrated to keep track of a typical route of travel. Then, if the device de-tects some deviation from the usual route, it would trigger a notification to parents. A probability matrix based nov-el algorithm is introduced to detect route deviation. De-sign details of the mobile device, along with the details of the route deviation detection algorithm are presented in this paper.",The Internet; Mobile device; Position (finance); Mobile phone; Cyber bullying; Computer security; Computer science; Track (rail transport),,,,
004-292-264-416-978,Forensic Genetics Against Children Trafficking: Missing Children Genetic Identification,2016-12-20,2016,book chapter,Handbook of Missing Persons,,Springer International Publishing,,María Saiz; Maria Jesus Alvarez-Cubero; Juan Carlos Alvarez; José A. Lorente,"The estimated number of 1.2 million child victims of trafficking every year is not only overwhelming, but a disgrace. Countering trafficking should be an ongoing legal, but more so humanitarian, effort. The application and usefulness of DNA identity testing is already well documented. To date, DNA-PROKIDS, which operates at the National Level in Guatemala and Mexico, has analysed over 220 cases. DNA analyses first and subsequent application of accompanying metadata have already helped to identify 93 missing children, who have been returned to their families, including one recent case in Thailand. If not for this intervention, it is likely these children would have been given or sold into illegal adoptions, would still be under exploitation, or would have died without identification. Additionally, their respective families would still be suffering the loss of their children. Beyond the identification of these children and returning them to their families, the database could play a deterrent role.",Identification (biology); Psychiatry; Intervention (counseling); Identity testing; Genetic Databases; Forensic genetics; Human trafficking; National level; Biology,,,,10.1007/978-3-319-40199-7_13
004-489-735-293-548,Double-Blinded Finder: A Two-Side Privacy-Preserving Approach for Finding Missing Children,2020-09-03,2020,book chapter,EAI/Springer Innovations in Communication and Computing,25228595; 25228609,Springer International Publishing,,Xin Jin; Shiming Ge; Chenggen Song; Xiaodong Li; Jicheng Lei; Wu Chuanqiang; Haoyang Yu,"Posting photos of suspected missing children on the street and posting them to social networks can help find missing children, but posting them to the Internet without protection may create privacy issues. In order to solve this problem, we propose Double-Blinded Finder, which is mainly used for low-dimensional multi-attribute matching of children’s face and blind face to find missing children and has high efficiency. To obtain enough knowledge for representing child faces, we build the Labeled Child Face in the Wild dataset, which contains 60K Internet images with 6K unique identities. We use this dataset to train a multitasking deep learning facial model, using a 128-dimensional feature vector and age and gender attributes to describe the child’s face. Due to the use of the face descriptor generation key, facial photos from the social network and facial information from the parents of the missing child are encrypted. In addition, we devise inner-production encryption to run blind face matching in the public cloud. In this manner, Double-Blinded Finder can provide efficient face matching while protecting the privacies of both sides: 1) Suspicious missing children in order to avoid human rights violations, 2) The real missing child is to retain the second victim. Experiments show that our system can achieve the actual performance of children’s face matching, and privacy leakage is negligible.",Human multitasking; Deep learning; The Internet; Encryption; Artificial intelligence; Matching (statistics); Key (cryptography); Face (geometry); Information retrieval; Computer science; Feature vector,,,,10.1007/978-3-030-46032-7_4
